Date,market_value,balance,stock_owned,price,action,amount
2019-01-01,100000.0,100000.0,0,1308.99853515625,buy,0
2019-01-02,100000.0,100000.0,0,1320.2130126953125,buy,0
2019-01-03,100000.0,100000.0,0,1324.98486328125,sell,0
2019-01-04,100000.0,100000.0,0,1322.6463623046875,buy,0
2019-01-07,100000.0,100000.0,0,1332.33349609375,sell,0
2019-01-08,100000.0,100000.0,0,1337.3441162109375,sell,0
2019-01-09,100000.0,100000.0,0,1338.0599365234375,buy,0
2019-01-10,100000.0,100000.0,0,1332.66748046875,buy,0
2019-01-11,100000.0,100000.0,0,1339.634765625,buy,0
2019-01-14,99968.72360161133,21777.727629931644,59,1325.2711181640625,buy,59
2019-01-15,100945.6734307129,21777.727629931644,59,1341.82958984375,buy,0
2019-01-16,100033.49252250977,21777.727629931644,59,1326.368896484375,buy,0
2019-01-17,100025.04440239258,21777.727629931644,59,1326.2257080078125,buy,0
2019-01-18,100635.9810479004,21777.727629931644,59,1336.58056640625,buy,0
2019-01-21,101855.07430961914,21777.727629931644,59,1357.2431640625,buy,0
2019-01-22,101001.99423149414,21777.727629931644,59,1342.7841796875,buy,0
2019-01-23,100416.39474418946,21777.727629931644,59,1332.8587646484375,buy,0
2019-01-24,100714.81576469727,21777.727629931644,59,1337.916748046875,buy,0
2019-01-25,99042.4264824707,21777.727629931644,59,1309.5711669921875,buy,0
2019-01-28,99456.31234672852,21777.727629931644,59,1316.586181640625,buy,0
2019-01-29,100233.3737480957,21777.727629931644,59,1329.7567138671875,sell,0
2019-01-30,100070.07943657227,21777.727629931644,59,1326.989013671875,buy,0
2019-01-31,101311.50640551758,198.2770354003951,75,1348.1763916015625,buy,16
2019-02-01,104503.9685637207,198.2770354003951,75,1390.7425537109375,buy,0
2019-02-04,103727.33587329101,198.2770354003951,75,1380.387451171875,buy,0
2019-02-05,104013.63958422851,198.2770354003951,75,1384.204833984375,buy,0
2019-02-06,105377.22601000976,198.2770354003951,75,1402.385986328125,buy,0
2019-02-07,105595.54266040039,198.2770354003951,75,1405.296875,buy,0
2019-02-08,103902.7234465332,198.2770354003951,75,1382.7259521484375,buy,0
2019-02-11,103065.21734301758,198.2770354003951,75,1371.5592041015625,sell,0
2019-02-12,104138.91119067383,198.2770354003951,75,1385.8751220703125,buy,0
2019-02-14,100352.36333911133,198.2770354003951,75,1335.3878173828125,buy,0
2019-02-15,99951.49969165039,198.2770354003951,75,1330.04296875,buy,0
2019-02-18,98981.61748950195,198.2770354003951,75,1317.1112060546875,buy,0
2019-02-19,98824.11932055664,198.2770354003951,75,1315.01123046875,buy,0
2019-02-20,100187.71490161133,198.2770354003951,75,1333.1925048828125,buy,0
2019-02-21,100252.14056079101,198.2770354003951,75,1334.051513671875,buy,0
2019-02-22,100252.14056079101,198.2770354003951,75,1334.051513671875,buy,0
2019-02-25,100284.35796801758,198.2770354003951,75,1334.4810791015625,buy,0
2019-02-26,100552.7722746582,198.2770354003951,75,1338.0599365234375,buy,0
2019-02-27,100817.6160246582,198.2770354003951,75,1341.5911865234375,buy,0
2019-02-28,100781.81890551758,198.2770354003951,75,1341.1138916015625,buy,0
2019-03-01,99862.01604907226,198.2770354003951,75,1328.849853515625,buy,0
2019-03-05,100685.1941496582,198.2770354003951,75,1339.8255615234375,sell,0
2019-03-06,99958.64996020508,198.2770354003951,75,1330.1383056640625,sell,0
2019-03-07,100083.92156665039,198.2770354003951,75,1331.80859375,buy,0
2019-03-08,99146.24761645508,198.2770354003951,75,1319.3062744140625,buy,0
2019-03-11,101826.88421313476,198.2770354003951,75,1355.048095703125,buy,0
2019-03-12,102420.99737231445,198.2770354003951,75,1362.9696044921875,buy,0
2019-03-13,102435.3162199707,198.2770354003951,75,1363.1605224609375,buy,0
2019-03-14,102896.98919360351,198.2770354003951,75,1369.316162109375,buy,0
2019-03-15,102739.54595629883,198.2770354003951,75,1367.2169189453125,buy,0
2019-03-18,103673.63103930664,198.2770354003951,75,1379.67138671875,buy,0
2019-03-19,104267.75335375976,198.2770354003951,75,1387.593017578125,buy,0
2019-03-20,104428.80376879883,198.2770354003951,75,1389.7403564453125,buy,0
2019-03-22,105509.63872973633,198.2770354003951,75,1404.1514892578125,buy,0
2019-03-25,104529.04485766601,198.2770354003951,75,1391.076904296875,buy,0
2019-03-26,106497.45611254883,198.2770354003951,75,1417.3223876953125,buy,0
2019-03-27,105566.92327563476,198.2770354003951,75,1404.915283203125,buy,0
2019-03-28,107352.82415454101,198.2770354003951,75,1428.727294921875,buy,0
2019-04-01,107048.61272875976,198.2770354003951,75,1424.671142578125,buy,0
2019-04-02,108949.06438891601,198.2770354003951,75,1450.010498046875,buy,0
2019-04-03,107379.18250922853,41631.39149360352,46,1429.2998046875,sell,29
2019-04-04,108318.68983344728,41631.39149360352,46,1449.723876953125,buy,0
2019-04-05,108118.93348579103,41631.39149360352,46,1445.38134765625,buy,0
2019-04-08,107324.3160541504,41631.39149360352,46,1428.1070556640625,buy,0
2019-04-09,105063.35877875978,41631.39149360352,46,1378.955810546875,buy,0
2019-04-10,103526.78358344728,41631.39149360352,46,1345.552001953125,buy,0
2019-04-11,104110.68934516603,41631.39149360352,46,1358.24560546875,buy,0
2019-04-12,104791.16029243165,41631.39149360352,46,1373.0384521484375,sell,0
2019-04-15,104479.4586322754,41631.39149360352,46,1366.2623291015625,buy,0
2019-04-16,105684.57215766603,41631.39149360352,46,1392.46044921875,buy,0
2019-04-18,106149.94032172853,41631.39149360352,46,1402.5771484375,buy,0
2019-04-22,104997.50331000978,41631.39149360352,46,1377.524169921875,buy,0
2019-04-23,104455.3131244629,41631.39149360352,46,1365.7374267578125,sell,0
2019-04-24,105291.6461322754,41631.39149360352,46,1383.9185791015625,buy,0
2019-04-25,105199.45521430665,41631.39149360352,46,1381.9144287109375,buy,0
2019-04-26,105234.56727485353,41631.39149360352,46,1382.677734375,buy,0
2019-04-30,105866.76405219728,41631.39149360352,46,1396.421142578125,buy,0
2019-05-02,104701.15370063478,41631.39149360352,46,1371.081787109375,buy,0
2019-05-03,104786.7691791504,41631.39149360352,46,1372.9429931640625,buy,0
2019-05-06,103656.29896430665,41631.39149360352,46,1348.3675537109375,buy,0
2019-05-07,102550.80382172852,21755.82725922852,61,1324.5078125,buy,15
2019-05-08,102428.52830903321,21755.82725922852,61,1322.5032958984375,buy,0
2019-05-09,100594.6785775879,21755.82725922852,61,1292.440185546875,buy,0
2019-05-10,99829.10326020508,21755.82725922852,61,1279.8897705078125,buy,0
2019-05-13,99331.34862153321,21755.82725922852,61,1271.7298583984375,buy,0
2019-05-14,98618.16539399415,21755.82725922852,61,1260.038330078125,buy,0
2019-05-15,97785.64793793946,21755.82725922852,61,1246.3905029296875,buy,0
2019-05-16,97695.39891450196,21755.82725922852,61,1244.9110107421875,sell,0
2019-05-17,98603.60789887696,21755.82725922852,61,1259.7996826171875,sell,0
2019-05-20,101744.45262543946,21755.82725922852,61,1311.2889404296875,buy,0
2019-05-21,100801.34288422852,21755.82725922852,61,1295.828125,buy,0
2019-05-22,101424.26219575196,21755.82725922852,61,1306.0399169921875,buy,0
2019-05-23,101383.5086557129,21755.82725922852,61,1305.371826171875,sell,0
2019-05-24,102358.66722504883,21755.82725922852,61,1321.3580322265625,buy,0
2019-05-27,101331.13145844727,21755.82725922852,61,1304.51318359375,sell,0
2019-05-28,101185.58629243165,21755.82725922852,61,1302.127197265625,sell,0
2019-05-29,100830.44298188477,21755.82725922852,61,1296.30517578125,buy,0
2019-05-30,101782.30211274415,21755.82725922852,61,1311.909423828125,buy,0
2019-05-31,103686.04271333008,21755.82725922852,61,1343.1182861328125,buy,0
2019-06-03,106710.4647104004,21755.82725922852,61,1392.698974609375,buy,0
2019-06-04,104512.74461762696,21755.82725922852,61,1356.6707763671875,buy,0
2019-06-06,104923.15428559571,21755.82725922852,61,1363.3988037109375,buy,0
2019-06-07,104329.34251801758,21755.82725922852,61,1353.6641845703125,buy,0
2019-06-10,104576.76781098633,21755.82725922852,61,1357.7203369140625,buy,0
2019-06-11,104745.60496918946,21755.82725922852,61,1360.4881591796875,sell,0
2019-06-12,104742.70091645508,21755.82725922852,61,1360.4405517578125,buy,0
2019-06-13,105405.94826166992,68372.22816889649,27,1371.6192626953125,sell,34
2019-06-14,104973.28908198242,68372.22816889649,27,1355.5948486328125,buy,0
2019-06-17,104693.4870800293,68372.22816889649,27,1345.2318115234375,buy,0
2019-06-18,104117.63964819336,89551.24145483399,11,1324.218017578125,sell,16
2019-06-19,104093.73059970704,722.4119961914112,78,1325.2733154296875,buy,67
2019-06-20,104909.54090244141,722.4119961914112,78,1335.732421875,buy,0
2019-06-21,104232.18250400391,722.4119961914112,78,1327.04833984375,buy,0
2019-06-24,103719.50769931641,722.4119961914112,78,1320.4755859375,buy,0
2019-06-25,102742.77478916016,722.4119961914112,78,1307.953369140625,buy,0
2019-06-26,102507.01331455079,722.4119961914112,78,1304.9307861328125,buy,0
2019-06-27,102615.55823642579,722.4119961914112,78,1306.3223876953125,buy,0
